system:index,probability,.geo
286_0,0.11579308,"{""type"":""MultiPoint"",""coordinates"":[]}"
288_0,0.0075855637,"{""type"":""MultiPoint"",""coordinates"":[]}"
289_0,0.079990454,"{""type"":""MultiPoint"",""coordinates"":[]}"
290_0,0.10285099,"{""type"":""MultiPoint"",""coordinates"":[]}"
291_0,0.32878986,"{""type"":""MultiPoint"",""coordinates"":[]}"
292_0,0.18877323,"{""type"":""MultiPoint"",""coordinates"":[]}"
293_0,0.3675075,"{""type"":""MultiPoint"",""coordinates"":[]}"
296_0,0.3675075,"{""type"":""MultiPoint"",""coordinates"":[]}"
298_0,0.6160909,"{""type"":""MultiPoint"",""coordinates"":[]}"
301_0,0.02743451,"{""type"":""MultiPoint"",""coordinates"":[]}"
302_0,0.06338578,"{""type"":""MultiPoint"",""coordinates"":[]}"
310_0,0.24857628,"{""type"":""MultiPoint"",""coordinates"":[]}"
314_0,0.7471394,"{""type"":""MultiPoint"",""coordinates"":[]}"
316_0,0.49305028,"{""type"":""MultiPoint"",""coordinates"":[]}"
320_0,0.18456773,"{""type"":""MultiPoint"",""coordinates"":[]}"
321_0,0.43731973,"{""type"":""MultiPoint"",""coordinates"":[]}"
324_0,0.01340976,"{""type"":""MultiPoint"",""coordinates"":[]}"
326_0,0.0012387873,"{""type"":""MultiPoint"",""coordinates"":[]}"
328_0,0.11707677,"{""type"":""MultiPoint"",""coordinates"":[]}"
330_0,0.18460333,"{""type"":""MultiPoint"",""coordinates"":[]}"
335_0,0.29140612,"{""type"":""MultiPoint"",""coordinates"":[]}"
337_0,0.28046545,"{""type"":""MultiPoint"",""coordinates"":[]}"
339_0,3.9025908E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
340_0,0.7815261,"{""type"":""MultiPoint"",""coordinates"":[]}"
342_0,0.047394093,"{""type"":""MultiPoint"",""coordinates"":[]}"
345_0,0.043443125,"{""type"":""MultiPoint"",""coordinates"":[]}"
347_0,0.021119766,"{""type"":""MultiPoint"",""coordinates"":[]}"
350_0,0.07563198,"{""type"":""MultiPoint"",""coordinates"":[]}"
357_0,0.09558582,"{""type"":""MultiPoint"",""coordinates"":[]}"
358_0,0.020190837,"{""type"":""MultiPoint"",""coordinates"":[]}"
359_0,0.25712207,"{""type"":""MultiPoint"",""coordinates"":[]}"
360_0,0.09334352,"{""type"":""MultiPoint"",""coordinates"":[]}"
363_0,0.3734241,"{""type"":""MultiPoint"",""coordinates"":[]}"
364_0,0.10285099,"{""type"":""MultiPoint"",""coordinates"":[]}"
366_0,0.10285099,"{""type"":""MultiPoint"",""coordinates"":[]}"
367_0,0.105786815,"{""type"":""MultiPoint"",""coordinates"":[]}"
368_0,0.03997297,"{""type"":""MultiPoint"",""coordinates"":[]}"
370_0,0.14563864,"{""type"":""MultiPoint"",""coordinates"":[]}"
372_0,0.051165476,"{""type"":""MultiPoint"",""coordinates"":[]}"
375_0,0.25453624,"{""type"":""MultiPoint"",""coordinates"":[]}"
376_0,0.21998142,"{""type"":""MultiPoint"",""coordinates"":[]}"
377_0,0.09343831,"{""type"":""MultiPoint"",""coordinates"":[]}"
380_0,0.07354527,"{""type"":""MultiPoint"",""coordinates"":[]}"
381_0,0.14299005,"{""type"":""MultiPoint"",""coordinates"":[]}"
382_0,0.8375385,"{""type"":""MultiPoint"",""coordinates"":[]}"
387_0,0.9318647,"{""type"":""MultiPoint"",""coordinates"":[]}"
388_0,0.18456773,"{""type"":""MultiPoint"",""coordinates"":[]}"
392_0,0.09478758,"{""type"":""MultiPoint"",""coordinates"":[]}"
395_0,0.06765379,"{""type"":""MultiPoint"",""coordinates"":[]}"
396_0,0.06513302,"{""type"":""MultiPoint"",""coordinates"":[]}"
397_0,0.08250383,"{""type"":""MultiPoint"",""coordinates"":[]}"
399_0,0.07381871,"{""type"":""MultiPoint"",""coordinates"":[]}"
400_0,0.52248955,"{""type"":""MultiPoint"",""coordinates"":[]}"
406_0,0.38543224,"{""type"":""MultiPoint"",""coordinates"":[]}"
408_0,0.11932302,"{""type"":""MultiPoint"",""coordinates"":[]}"
413_0,0.31093368,"{""type"":""MultiPoint"",""coordinates"":[]}"
414_0,0.10033204,"{""type"":""MultiPoint"",""coordinates"":[]}"
415_0,0.25047827,"{""type"":""MultiPoint"",""coordinates"":[]}"
417_0,0.46707267,"{""type"":""MultiPoint"",""coordinates"":[]}"
418_0,0.06384362,"{""type"":""MultiPoint"",""coordinates"":[]}"
