variable,x_value,probability
bio_12,1674.2140468227426,0.2204550951719284
bio_12,1682.2441471571906,0.2204550951719284
bio_12,1690.2742474916388,0.2204550951719284
bio_12,1698.304347826087,0.2204550951719284
bio_12,1706.3344481605352,0.2204550951719284
bio_12,1714.3645484949834,0.2204550951719284
bio_12,1722.3946488294314,0.2204550951719284
bio_12,1730.4247491638796,0.2204550951719284
bio_12,1738.4548494983278,0.2204550951719284
bio_12,1746.484949832776,0.2204550951719284
bio_12,1754.5150501672242,0.2204550951719284
bio_12,1762.5451505016722,0.2204550951719284
bio_12,1770.5752508361204,0.2204550951719284
bio_12,1778.6053511705686,0.2204550951719284
bio_12,1786.6354515050168,0.2204550951719284
bio_12,1794.665551839465,0.2204550951719284
bio_12,1802.695652173913,0.2204550951719284
bio_12,1810.7257525083612,0.2204550951719284
bio_12,1818.7558528428094,0.2204550951719284
bio_12,1826.7859531772576,0.2204550951719284
bio_12,1834.8160535117058,0.2204550951719284
bio_12,1842.8461538461538,0.2204550951719284
bio_12,1850.876254180602,0.2204550951719284
bio_12,1858.9063545150502,0.2204550951719284
bio_12,1866.9364548494984,0.2204550951719284
bio_12,1874.9665551839464,0.2204550951719284
bio_12,1882.9966555183946,0.2204550951719284
bio_12,1891.0267558528428,0.2204550951719284
bio_12,1899.056856187291,0.2204550951719284
bio_12,1907.0869565217392,0.2204550951719284
bio_12,1915.1170568561872,0.2204550951719284
bio_12,1923.1471571906354,0.2204550951719284
bio_12,1931.1772575250836,0.2204550951719284
bio_12,1939.2073578595318,0.2204550951719284
bio_12,1947.23745819398,0.2204550951719284
bio_12,1955.267558528428,0.2204550951719284
bio_12,1963.2976588628762,0.2204550951719284
bio_12,1971.3277591973244,0.2204550951719284
bio_12,1979.3578595317726,0.2204550951719284
bio_12,1987.3879598662209,0.2204550951719284
bio_12,1995.4180602006688,0.2204550951719284
bio_12,2003.448160535117,0.2204550951719284
bio_12,2011.4782608695652,0.2204550951719284
bio_12,2019.5083612040135,0.2204550951719284
bio_12,2027.5384615384617,0.2204550951719284
